"","day","mon","hh","mm","ss","spd","vol","occ"
"1",1,8,0,0,0,92,1576,14
"2",1,8,0,5,0,90,1589,14
"3",1,8,0,10,0,90,1947,19
"4",1,8,0,15,0,90,1752,15
"5",1,8,0,20,0,90,1873,18
"6",1,8,0,25,0,90,1654,15
"7",1,8,0,30,0,90,1684,17
"8",1,8,0,35,0,91,1664,14
"9",1,8,0,40,0,90,1640,15
"10",1,8,0,45,0,90,1623,15
"11",1,8,0,50,0,90,2027,18
"12",1,8,0,55,0,95,1315,12
"13",1,8,1,0,0,92,1279,10
"14",1,8,1,5,0,93,1287,12
"15",1,8,1,10,0,95,1149,10
"16",1,8,1,15,0,95,1120,10
"17",1,8,1,20,0,95,1239,10
"18",1,8,1,25,0,95,1153,9
"19",1,8,1,30,0,95,1028,9
"20",1,8,1,35,0,95,1151,10
"21",1,8,1,40,0,91,1547,13
"22",1,8,1,45,0,95,1094,10
"23",1,8,1,50,0,95,1096,10
"24",1,8,1,55,0,95,946,7
"25",1,8,2,0,0,95,964,9
"26",1,8,2,5,0,94,1099,9
"27",1,8,2,10,0,94,1041,8
"28",1,8,2,15,0,95,783,7
"29",1,8,2,20,0,95,712,6
"30",1,8,2,25,0,95,672,6
"31",1,8,2,30,0,95,719,6
"32",1,8,2,35,0,95,696,7
"33",1,8,2,40,0,95,745,6
"34",1,8,2,45,0,95,641,5
"35",1,8,2,50,0,95,871,8
"36",1,8,2,55,0,95,660,6
"37",1,8,3,0,0,95,911,8
"38",1,8,3,5,0,95,942,8
"39",1,8,3,10,0,95,660,5
"40",1,8,3,15,0,95,703,6
"41",1,8,3,20,0,95,777,7
"42",1,8,3,25,0,95,1060,8
"43",1,8,3,30,0,95,824,7
"44",1,8,3,35,0,95,743,6
"45",1,8,3,40,0,95,714,6
"46",1,8,3,45,0,95,953,8
"47",1,8,3,50,0,95,648,6
"48",1,8,3,55,0,95,776,8
"49",1,8,4,0,0,95,722,7
"50",1,8,4,5,0,93,1074,8
"51",1,8,4,10,0,95,838,7
"52",1,8,4,15,0,95,671,6
"53",1,8,4,20,0,95,632,6
"54",1,8,4,25,0,95,621,6
"55",1,8,4,30,0,95,311,3
"56",1,8,4,35,0,95,674,6
"57",1,8,4,40,0,95,845,7
"58",1,8,4,45,0,95,653,6
"59",1,8,4,50,0,94,1009,9
"60",1,8,4,55,0,95,783,9
"61",1,8,5,0,0,95,928,10
"62",1,8,5,5,0,95,632,5
"63",1,8,5,10,0,95,794,7
"64",1,8,5,15,0,95,1062,11
"65",1,8,5,20,0,95,1064,10
"66",1,8,5,25,0,95,1132,11
"67",1,8,5,30,0,95,879,7
"68",1,8,5,35,0,91,1498,12
"69",1,8,5,40,0,94,1407,13
"70",1,8,5,45,0,90,1795,18
"71",1,8,5,50,0,90,2053,18
"72",1,8,5,55,0,95,1253,13
"73",1,8,6,0,0,90,1627,16
"74",1,8,6,5,0,90,1709,15
"75",1,8,6,10,0,90,2042,19
"76",1,8,6,15,0,89,1889,19
"77",1,8,6,20,0,84,-1,-1
"78",1,8,6,25,0,78,-1,-1
"79",1,8,6,30,0,78,-1,-1
"80",1,8,6,35,0,77,-1,-1
"81",1,8,6,40,0,78,-1,-1
"82",1,8,6,45,0,75,-1,-1
"83",1,8,6,50,0,74,-1,-1
"84",1,8,6,55,0,71,-1,-1
"85",1,8,7,0,0,68,-1,-1
"86",1,8,7,5,0,65,-1,-1
"87",1,8,7,10,0,62,-1,-1
"88",1,8,7,15,0,57,-1,-1
"89",1,8,7,20,0,52,-1,-1
"90",1,8,7,25,0,43,-1,-1
"91",1,8,7,30,0,38,-1,-1
"92",1,8,7,35,0,33,-1,-1
"93",1,8,7,40,0,32,-1,-1
"94",1,8,7,45,0,32,-1,-1
"95",1,8,7,50,0,28,-1,-1
"96",1,8,7,55,0,25,-1,-1
"97",1,8,8,0,0,23,-1,-1
"98",1,8,8,5,0,22,-1,-1
"99",1,8,8,10,0,23,-1,-1
"100",1,8,8,15,0,23,-1,-1
"101",1,8,8,20,0,23,-1,-1
"102",1,8,8,25,0,23,-1,-1
"103",1,8,8,30,0,25,-1,-1
"104",1,8,8,35,0,76,-1,63
"105",1,8,8,40,0,76,-1,67
"106",1,8,8,45,0,67,-1,69
"107",1,8,8,50,0,75,5973,70
"108",1,8,8,55,0,81,-1,65
"109",1,8,9,0,0,92,4260,37
"110",1,8,9,5,0,91,4872,34
"111",1,8,9,10,0,95,4243,26
"112",1,8,9,15,0,95,4568,31
"113",1,8,9,20,0,93,4224,26
"114",1,8,9,25,0,95,3929,22
"115",1,8,9,30,0,90,4186,28
"116",1,8,9,35,0,95,4001,30
"117",1,8,9,40,0,89,5117,33
"118",1,8,9,45,0,95,4526,33
"119",1,8,9,50,0,87,4343,31
"120",1,8,9,55,0,84,3967,29
"121",1,8,10,0,0,87,4528,27
"122",1,8,10,5,0,80,4734,37
"123",1,8,10,10,0,81,3935,41
"124",1,8,10,15,0,77,4280,50
"125",1,8,10,20,0,94,4422,38
"126",1,8,10,25,0,88,4140,43
"127",1,8,10,30,0,86,4156,38
"128",1,8,10,35,0,90,4582,36
"129",1,8,10,40,0,80,3978,46
"130",1,8,10,45,0,82,3379,32
"131",1,8,10,50,0,73,-1,-1
"132",1,8,10,55,0,72,-1,-1
"133",1,8,11,0,0,71,-1,-1
"134",1,8,11,5,0,71,-1,-1
"135",1,8,11,10,0,71,-1,-1
"136",1,8,11,15,0,83,3814,36
"137",1,8,11,20,0,85,4391,41
"138",1,8,11,25,0,85,4569,41
"139",1,8,11,30,0,89,4312,36
"140",1,8,11,35,0,82,4063,35
"141",1,8,11,40,0,86,3842,33
"142",1,8,11,45,0,88,4009,36
"143",1,8,11,50,0,86,4792,42
"144",1,8,11,55,0,86,3734,34
"145",1,8,12,0,0,95,3205,27
"146",1,8,12,5,0,85,4718,43
"147",1,8,12,10,0,89,3726,32
"148",1,8,12,15,0,86,3564,34
"149",1,8,12,20,0,86,3769,29
"150",1,8,12,25,0,88,3782,31
"151",1,8,12,30,0,95,3395,26
"152",1,8,12,35,0,92,3818,33
"153",1,8,12,40,0,86,3976,34
"154",1,8,12,45,0,81,3687,38
"155",1,8,12,50,0,89,3681,35
"156",1,8,12,55,0,87,4012,40
"157",1,8,13,0,0,95,3863,34
"158",1,8,13,5,0,88,3697,32
"159",1,8,13,10,0,89,3488,27
"160",1,8,13,15,0,78,4297,45
"161",1,8,13,20,0,90,3553,31
"162",1,8,13,25,0,95,3282,27
"163",1,8,13,30,0,89,4299,39
"164",1,8,13,35,0,90,3865,37
"165",1,8,13,40,0,94,3951,31
"166",1,8,13,45,0,84,4094,35
"167",1,8,13,50,0,82,3937,35
"168",1,8,13,55,0,82,4466,34
"169",1,8,14,0,0,81,3934,35
"170",1,8,14,5,0,81,4447,36
"171",1,8,14,10,0,93,3455,28
"172",1,8,14,15,0,92,4025,34
"173",1,8,14,20,0,89,3915,36
"174",1,8,14,25,0,85,4756,34
"175",1,8,14,30,0,92,4697,34
"176",1,8,14,35,0,87,3620,27
"177",1,8,14,40,0,83,4773,43
"178",1,8,14,45,0,84,3819,31
"179",1,8,14,50,0,95,4306,35
"180",1,8,14,55,0,84,4523,33
"181",1,8,15,0,0,89,3786,29
"182",1,8,15,5,0,87,4122,31
"183",1,8,15,10,0,82,3953,35
"184",1,8,15,15,0,94,3668,25
"185",1,8,15,20,0,95,3769,29
"186",1,8,15,25,0,87,3784,26
"187",1,8,15,30,0,92,3908,28
"188",1,8,15,35,0,95,3928,28
"189",1,8,15,40,0,90,3952,32
"190",1,8,15,45,0,94,3904,30
"191",1,8,15,50,0,85,3656,31
"192",1,8,15,55,0,86,3489,29
"193",1,8,16,0,0,92,3681,32
"194",1,8,16,5,0,83,4022,36
"195",1,8,16,10,0,92,4488,37
"196",1,8,16,15,0,85,4064,38
"197",1,8,16,20,0,87,3773,34
"198",1,8,16,25,0,89,4251,34
"199",1,8,16,30,0,84,3889,33
"200",1,8,16,35,0,90,4069,34
"201",1,8,16,40,0,95,3823,31
"202",1,8,16,45,0,92,4143,32
"203",1,8,16,50,0,90,3986,36
"204",1,8,16,55,0,95,3756,29
